UUID: f08c55e0-31af-4d4f-abce-20a7e807dae6
NEW CROP, APPLE, amount: 853kg, in week: 22
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 6b5179ae-f789-4a31-80fd-19c4ec1e05dc
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 924b4385-d34d-4643-9297-9ba437fd4c02
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 15kg, shop price: 97.57 in week:2 by customer 0e9a2add-46d8-4203-8870-63ce7f2c58ff
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 6db4bd33-466c-49ae-82c9-405274dd6cc3
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 15kg, shop price: 97.57 in week:2 by customer efca471d-e2bd-4c17-b67f-1cc00d55efc9
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 8276cbfb-3f19-4d6a-9509-1ec15e227268
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 055581db-2768-4be0-ba96-6cfab6d123e5
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 12kg, shop price: 97.57 in week:2 by customer 12dba37b-b0eb-4aad-a6ee-5114a3309355
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 2c084fc4-4f91-4aaf-a6bc-aef2e4cb1fd1
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 28e44809-f166-45fa-adfc-29125cd8e8f4
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer becbced8-0ace-4978-bbef-f166034bce83
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 12kg, shop price: 97.57 in week:2 by customer 662cc495-9000-48a7-a42f-2c590c3bd2ff
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 6kg, shop price: 97.57 in week:2 by customer 96d6a970-8d39-4cf3-975b-481e3c8eae3b
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 7kg, shop price: 97.57 in week:2 by customer ca41c9b0-2922-4b46-bf2e-6ec1e78f60c5
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 5kg, shop price: 97.57 in week:2 by customer aa1319da-5693-44f4-bb10-430321d1dacd
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 5kg, shop price: 97.57 in week:2 by customer a1df63d7-c2dd-4849-9f89-b21c22791d59
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 51de2388-15dd-46a6-a4d0-a7eef0e64c4a
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 6kg, shop price: 97.57 in week:2 by customer ef2b2dbd-7e46-403e-9824-db3dbe9b4ba4
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 25e4a9b7-2890-49a5-b07b-e18ba01a81e7
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 19db41ce-7c3b-44f7-908e-f7997caf1e3c
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 4fbd7832-4bad-48d1-96e6-c5579c4b78a7
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 7be7c255-b4cc-4ec9-bdcf-ce46eb86bc61
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer c2a3aa33-50da-4021-99a5-8af57b888bce
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 23c24706-dc60-45f2-8598-809043cec79d
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer bad2d321-6d22-47db-bb23-0d183810adaa
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 13kg, shop price: 97.57 in week:2 by customer 5aa745bd-ec55-4ca8-8abb-05be2b158212
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer 3cfc15eb-76db-4a32-bed6-ca9ebf0c2d02
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 924b4385-d34d-4643-9297-9ba437fd4c02
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 6db4bd33-466c-49ae-82c9-405274dd6cc3
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 12kg, shop price: 97.57 in week:3 by customer 50e0c754-b528-4d3f-ad57-9c89b1ba8bf1
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 35f9d570-d8b4-40c3-a05b-b6cb9ea54188
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer bfdbaf7f-c4d0-4020-a958-633f17884b58
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 7kg, shop price: 97.57 in week:3 by customer 3c19e95a-29d6-4ec7-81bf-68131878fe12
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 2c084fc4-4f91-4aaf-a6bc-aef2e4cb1fd1
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 583530f2-9e84-4ad3-8bbd-ec09396c822f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer d040dc0d-8ec7-4906-abe6-7128a798958e
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 3622256c-8bd9-41cb-80fe-f38da25ec700
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 13kg, shop price: 97.57 in week:3 by customer 86c1545b-b0e7-43bc-818d-c93e86af9709
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 11kg, shop price: 97.57 in week:3 by customer becbced8-0ace-4978-bbef-f166034bce83
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 12kg, shop price: 97.57 in week:3 by customer 189c5297-6f8f-4c71-9c6c-bb6c8a8efbae
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 5c886aa9-dd78-4515-a489-7727f1cae832
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 8a541e68-1e63-408c-be4a-f090242ab6cb
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 7kg, shop price: 97.57 in week:3 by customer 33636cf1-6ccc-4a25-8595-f70ffcc1e793
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer c21862bf-5a41-408f-8cd6-4f4ea9c90351
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer bb518bb2-867b-42b9-b5a4-cc261e5fbff6
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 0a619eb9-3041-432a-b8af-10cc50dce9bc
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 25e4a9b7-2890-49a5-b07b-e18ba01a81e7
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 1ee2232e-4637-478e-a24c-77f99c765148
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 9033c223-e647-488b-97b8-f2ef20f64903
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 7be7c255-b4cc-4ec9-bdcf-ce46eb86bc61
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 23c24706-dc60-45f2-8598-809043cec79d
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:3 by customer 5bb93c71-72cb-4627-9936-527012f6100f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 8kg, shop price: 97.57 in week:3 by customer 5aa745bd-ec55-4ca8-8abb-05be2b158212
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 082ba35f-8675-4a65-88ce-aa19d2dbd43f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 12kg, shop price: 97.57 in week:4 by customer 52a1045c-9cd3-4a91-867b-831791e74768
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 35ece140-dc29-4f03-a63e-cf09d1c78a17
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 6db4bd33-466c-49ae-82c9-405274dd6cc3
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 055581db-2768-4be0-ba96-6cfab6d123e5
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 2c084fc4-4f91-4aaf-a6bc-aef2e4cb1fd1
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 583530f2-9e84-4ad3-8bbd-ec09396c822f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer d040dc0d-8ec7-4906-abe6-7128a798958e
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 6kg, shop price: 97.57 in week:4 by customer 7eed6a86-efa4-4aba-b9e0-d9d97d5750b3
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 13kg, shop price: 97.57 in week:4 by customer 86c1545b-b0e7-43bc-818d-c93e86af9709
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer c7b01892-498d-4e1a-ae0a-46636b698a0b
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 5kg, shop price: 97.57 in week:4 by customer 189c5297-6f8f-4c71-9c6c-bb6c8a8efbae
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 84839e6e-3c16-4b13-86c2-e56ec3069e54
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 5kg, shop price: 97.57 in week:4 by customer 95dbe32f-141c-4f78-a046-b455b96dc28e
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 4ff679cd-d91c-4067-a41c-31bbe4dd84f1
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 8a541e68-1e63-408c-be4a-f090242ab6cb
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 11kg, shop price: 97.57 in week:4 by customer f82cdaa3-f8b7-4bc9-8399-460d2f54c0db
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 13kg, shop price: 97.57 in week:4 by customer adb22eb4-e1aa-40f6-b3d7-fd3ce3c407ad
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 23313423-cbeb-4810-9888-9109a901174f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer c21862bf-5a41-408f-8cd6-4f4ea9c90351
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 0a619eb9-3041-432a-b8af-10cc50dce9bc
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 25e4a9b7-2890-49a5-b07b-e18ba01a81e7
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 1ee2232e-4637-478e-a24c-77f99c765148
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 9033c223-e647-488b-97b8-f2ef20f64903
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 8kg, shop price: 97.57 in week:4 by customer 18b5bf75-c401-4b17-965c-d87392397a98
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 4fbd7832-4bad-48d1-96e6-c5579c4b78a7
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer c2a3aa33-50da-4021-99a5-8af57b888bce
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 5bb93c71-72cb-4627-9936-527012f6100f
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer bad2d321-6d22-47db-bb23-0d183810adaa
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 5aa745bd-ec55-4ca8-8abb-05be2b158212
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 689d78ac-5b1b-4c52-a685-c0b90e64c996
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:4 by customer 3cfc15eb-76db-4a32-bed6-ca9ebf0c2d02
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:5 by customer 35ece140-dc29-4f03-a63e-cf09d1c78a17
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:5 by customer 35f9d570-d8b4-40c3-a05b-b6cb9ea54188
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 9kg, shop price: 97.57 in week:5 by customer ef3336a8-9971-45e0-89be-bdd6eea6a970
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 7kg, shop price: 97.57 in week:5 by customer efca471d-e2bd-4c17-b67f-1cc00d55efc9
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:5 by customer 8276cbfb-3f19-4d6a-9509-1ec15e227268
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:5 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT WAS SOLD OUT, in week:5


UUID: c2bdcc66-5a4f-46dc-aa1d-b0b4d6b11274
NEW CROP, CUCCUMBER, amount: 458kg, in week: 3


UUID: e9789bc2-6abd-479f-bd78-f31141ade078
NEW CROP, PEAR, amount: 637kg, in week: 24


UUID: bad1a17b-0299-49d5-bfb1-67380e5a2a10
NEW CROP, WHEET, amount: 164kg, in week: 9


UUID: f5806d78-1f77-4eb1-b65e-99503713c105
NEW CROP, CUCCUMBER, amount: 279kg, in week: 26


UUID: fcfc5447-05ef-4c5e-a3b2-e85f9202e4cc
NEW CROP, CUCCUMBER, amount: 913kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 18 by d7a60a24-9c81-4de4-8b6f-8eb7359f8ee9
CROPT HAS BEEN SHIPPED, CUCCUMBER, amount: 913kg, in week:19
NEW PRODUCT, jar of sourCUCCUMBER, amount: 456kg, shop price: 35.0 in week:19 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, jar of sourCUCCUMBER, shop price: 35.0 in week:20
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 10kg, shop price: 35.0 in week:20 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 11kg, shop price: 35.0 in week:21 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 5kg, shop price: 35.0 in week:21 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 10kg, shop price: 35.0 in week:21 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 8kg, shop price: 35.0 in week:23 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 10kg, shop price: 35.0 in week:23 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 11kg, shop price: 35.0 in week:24 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 10kg, shop price: 35.0 in week:24 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 8kg, shop price: 35.0 in week:25 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, jar of sourCUCCUMBER, amount: 15kg, shop price: 35.0 in week:25 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
THE REST OF PRODUCT WAS SPOILED, in week:25


UUID: ba7cfb4a-15b4-41ea-8fac-aa449387eb2b
NEW CROP, BARLEY, amount: 589kg, in week: 6


UUID: c8562588-b1da-4f4b-95d4-dcb9e0ceeac3
NEW CROP, POTATO, amount: 223kg, in week: 2


UUID: b1aa2a38-23b7-4b94-beda-da8ccfaa607f
NEW CROP, HOP, amount: 445kg, in week: 9


UUID: 1421c502-fff0-49ee-8dd3-72a8be055274
NEW CROP, APPLE, amount: 638kg, in week: 1
CROP HAS BEEN HARVESTED IN WEEK: 7 by fa1d1c7a-8a99-4289-8eaf-e2e9cac89d71
CROPT HAS BEEN SHIPPED, APPLE, amount: 638kg, in week:8
NEW PRODUCT, APPLE, amount: 638kg, shop price: 63.0 in week:8 by7efd85f5-9614-436e-a024-da9b68cfb3c9
PRODUCT HAS BEEN SHIPPED, APPLE, shop price: 63.0 in week:9
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 6b5179ae-f789-4a31-80fd-19c4ec1e05dc
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 924b4385-d34d-4643-9297-9ba437fd4c02
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 35f9d570-d8b4-40c3-a05b-b6cb9ea54188
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 8276cbfb-3f19-4d6a-9509-1ec15e227268
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 055581db-2768-4be0-ba96-6cfab6d123e5
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 12kg, shop price: 63.0 in week:9 by customer 12dba37b-b0eb-4aad-a6ee-5114a3309355
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 2c084fc4-4f91-4aaf-a6bc-aef2e4cb1fd1
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 9kg, shop price: 63.0 in week:9 by customer 61e335ac-ed32-40e9-b1db-1902fddb3290
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 583530f2-9e84-4ad3-8bbd-ec09396c822f
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer d040dc0d-8ec7-4906-abe6-7128a798958e
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 3622256c-8bd9-41cb-80fe-f38da25ec700
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 8kg, shop price: 63.0 in week:9 by customer eff3ce08-55db-4747-8da3-0f1e6bc44b13
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 13kg, shop price: 63.0 in week:9 by customer becbced8-0ace-4978-bbef-f166034bce83
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 3ecd773f-94c3-47b8-b011-d3bd9eccb644
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 5c886aa9-dd78-4515-a489-7727f1cae832
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 28b92b4f-0a6f-45ca-8c8c-388f94ce3b5f
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 4ff679cd-d91c-4067-a41c-31bbe4dd84f1
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 7kg, shop price: 63.0 in week:9 by customer f82cdaa3-f8b7-4bc9-8399-460d2f54c0db
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 23313423-cbeb-4810-9888-9109a901174f
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer c21862bf-5a41-408f-8cd6-4f4ea9c90351
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 51de2388-15dd-46a6-a4d0-a7eef0e64c4a
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer bb518bb2-867b-42b9-b5a4-cc261e5fbff6
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 13kg, shop price: 63.0 in week:9 by customer 3cfb81a3-83fb-4956-8b5f-6f8c0ed6018d
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 14kg, shop price: 63.0 in week:9 by customer 40b0eb09-557c-4fc8-b402-eea792070a39
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 0a619eb9-3041-432a-b8af-10cc50dce9bc
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 11kg, shop price: 63.0 in week:9 by customer ef2b2dbd-7e46-403e-9824-db3dbe9b4ba4
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 25e4a9b7-2890-49a5-b07b-e18ba01a81e7
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 9033c223-e647-488b-97b8-f2ef20f64903
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 14kg, shop price: 63.0 in week:9 by customer 18b5bf75-c401-4b17-965c-d87392397a98
PRODUCT HAS BEEN PURCHASED, APPLE, amount: 10kg, shop price: 63.0 in week:9 by customer 19db41ce-7c3b-44f7-908e-f7997caf1e3c
